"Street Address 2","Street Address 2","duplicate (47-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
Subtotal,Subtotal,"duplicate (83-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/review/info.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//cart.phtml)"
Telephone,Telephone,"duplicate (65-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 66-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 65-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 66-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
"Thank you for your purchase!","Thank you for your purchase!","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/success.phtml, 25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//success.phtml)"
"The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).","The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).","duplicate (68-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php, 68-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php)"
"There is already a customer registered using this email address","There is already a customer registered using this email address","duplicate (132-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Onepage.php, 132-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Onepage.php)"
"This product is out of stock","This product is out of stock","duplicate (116-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 211-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 116-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 211-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php)"
"Total for this address","Total for this address","duplicate (113-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Overview.php, 113-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Overview.php)"
"Update Total","Update Total","duplicate (49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//cart/shipping.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//cart/shipping.phtml)"
"Zip/Postal Code","Zip/Postal Code","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//cart/shipping.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 60-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 58-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
